rank,lemma,original_sentence,final_sentence,original_english_sentence
30271,correligionarios,Termina sus años ocupando la presidencia del partido socialista admirado y respetado por correligionarios y adversarios.,Respetado por correligionarios.,He ends his years holding the presidency of the socialist party admired and respected by co-religionists and adversaries.
30272,debatido,El de julio del asunto fue debatido de nuevo con representantes de alemania.,Fue debatido de nuevo con representantes.,The July issue was again discussed with representatives of Germany.
30285,mediadores,Dirigir el centro de mediación y coordinar las actividades del cuerpo de mediadores.,Coordinar las actividades del cuerpo de mediadores.,Direct the mediation centre and coordinate the activities of the mediator corps.
30292,reafirmó,El jefe ejecutivo reafirmó estos principios en el discurso de política que pronunció el año.,Reafirmó estos principios en el discurso.,The Chief Executive reaffirmed these principles in his policy speech the year.
30319,inmorales,Ustedes van a la universidad pero son inmorales y cual es el punto.,Ustedes van a la universidad pero son inmorales.,You go to college but you're immoral and what's the point.
30325,orientan,Las prioridades se orientan por lo dispuesto en la convención en particular su artículo.,Prioridades se orientan por lo dispuesto.,The priorities are guided by the provisions of the convention in particular its article.
30327,prolongadas,Ambas han sido objeto de prolongadas y en algunos casos fuertes discusiones con los directivos.,Ambas han sido objeto de prolongadas.,"Both have been the subject of lengthy and, in some cases, strong discussions with management."
30333,sobrantes,La totalidad de los días sobrantes serán fijados por la representación de los trabajadores.,Los días sobrantes serán fijados.,All remaining days shall be fixed by the workers' representation.
30340,verificó,La exposición se verificó en saskatoon del de mayo al de agosto de.,Verificó en saskatoon del de mayo.,The exhibition was verified in saskatoon from May to August.
30364,procuradores,Modificación de los artículos y de los estatutos del colegio de procuradores de lleida.,De los estatutos del colegio de procuradores de lleida.,Amendment of the articles and statutes of the lleida procurators' association.
30368,tronos,Los tronos son mencionados junto a otros seres espirituales en colosenses y en apocalipsis.,Los tronos son mencionados junto a otros seres espirituales en colosenses.,The thrones are mentioned along with other spiritual beings in Colossians and in apocalypse.
30370,aduanero,Por ejemplo la utilización de números de serie es importante para el control aduanero.,El control aduanero.,"For example, the use of serial numbers is important for customs control."
30384,elevaba,En el caso de las mujeres solteras la cifra correspondientes se elevaba al h.,Correspondientes se elevaba al h.,"In the case of single women, the corresponding figure was h."
30409,subordinada,No podría ser un hombre de su obvio talento en una posición subordinada.,Una posición subordinada.,He couldn't be a man of his obvious talent in a subordinate position.
30412,trazó,Ya trazó el curso gus kitt cuál es nuestro tiempo aproximado de llegada.,Ya trazó el curso gus kitt.,You have already drawn the Gus kitt course which is our approximate arrival time.
30450,completará,En el artículo el párrafo primero del apartado se completará con el texto siguiente.,Se completará con el texto siguiente.,"In Article 1, the first subparagraph of the paragraph shall be supplemented by the following:"
30456,generaron,Los servicios de asesoramiento generaron en la cifra de millones de dólares en concepto de honorarios.,Asesoramiento generaron en la cifra de millones.,Advisory services generated millions of dollars in fees.
30464,parisinos,Durante las últimas semanas miles de parisinos viven cerca del río han sido evacuados.,Semanas miles de parisinos viven cerca del río han sido evacuados.,In recent weeks thousands of Parisians have been evacuated near the river.
30485,colisiones,Los protones se dirigirán hacia colisiones casi a la velocidad de la luz.,Hacia colisiones casi a la velocidad.,The protons will head towards collisions almost at the speed of light.
30487,densidades,En otras ocasiones la visualización de densidades cálcicas en áreas renoureterales permitirá el diagnóstico de litiasis en el árbol urinario.,Densidades cálcicas en áreas renoureterales permitirá.,On other occasions the visualization of calcium densities in renoureteral areas will allow the diagnosis of lithiasis in the urinary tree.
30488,dramaturgia,Mi novio ha entrado en el programa de dramaturgia de la universidad de iowa.,Dramaturgia de la universidad de iowa.,My boyfriend has entered the dramaturgy program at iowa University.
30491,especificó,Bulgaria especificó que el elemento de los medios sólo se tenía en cuenta como factor agravante.,Bulgaria especificó que el elemento.,Bulgaria specified that the element of the means was only taken into account as an aggravating factor.
30510,primado,El de julio de fue nombrado arzobispo primado de españa y arzobispo de toledo.,El de julio de fue nombrado arzobispo primado de españa.,"On July, he was appointed Primate Archbishop of Spain and Archbishop of Toledo."
30547,impactantes,Creo que será una de las actrices legítimas más impactantes de nuestra época.,Legítimas más impactantes de nuestra época.,I think it will be one of the most shocking legitimate actresses of our time.
30555,otorgarle,Por consiguiente no cumplía uno de los criterios legales para otorgarle el título académico de profesor.,Otorgarle el título académico de profesor.,He therefore did not meet one of the legal criteria for granting him an academic degree as a teacher.
30592,frecuentado,Se necesita tener un par de cojones para robar un bar frecuentado por policías.,Un bar frecuentado por policías.,It takes a couple of balls to rob a bar frequented by cops.
30593,futbolística,La primera división de bélgica fue la temporada de la máxima competición futbolística en bélgica.,Máxima competición futbolística en bélgica.,The first division of belgica was the season of the maximum football competition in belgica.
30620,demostramos,Pusimos a prueba su paciencia y en ocasiones demostramos ser exigentes pero ellos siempre respondieron.,En ocasiones demostramos ser exigentes.,We tested their patience and sometimes proved demanding but they always responded.
30634,lucrativa,Nunca se me ocurrió lo lucrativa que podría ser una línea para bebés.,Lucrativa que podría ser una línea.,It never occurred to me how lucrative a baby line could be.
30642,reflejaban,Las promesas de contribuciones de los donantes reflejaban su confianza en el centro.,Las promesas de contribuciones de los donantes reflejaban su confianza.,Pledges from donors reflected their confidence in the centre.
30664,componía,Lo recuerdo bien especialmente a mi madre que componía canciones sobre los dos.,Lo recuerdo bien a mi madre que componía canciones sobre los dos.,I remember it well especially my mother who wrote songs about the two of us.
30678,gravitatoria,Con lo que se recupera la expresión de la fuerza gravitatoria de partida.,La fuerza gravitatoria de partida.,With which the expression of the starting gravitational force is recovered.
